"","author","title"
"1","A'Hearn MF","Ultraviolet and visible photometry of asteroid (21) Lutetia using the Hubble Space Telescope"
"2","A-S B","Ion transport proteins control pancreatic ductal adenocarcinoma"
"3","Au KY","Psychological Contracts across Cultures"
"4","Ao L","RELATIVE COMPOSITION AND ENERGY SPECTRA OF LIGHT NUCLEI IN COSMIC RAYS: RESULTS FROM AMS-01"
"5","Aa ON","Measurement of d sigma/dy of Drell-Yan e(+)e(-) pairs in the Z mass region from p(p)over-bar collisions at root s=1.96 TeV"
"6","Au SM","Sudden coma after subclavian catheterization"
"7","A-sterman L","Charged-particle multiplicity measurement in proton-proton collisions at root s=7 TeV with ALICE at LHC"
"8","Aoiz FJ","Astronomical identification of CN-, the smallest observed molecular anion"
"9","A'Hearn MF","The far-ultraviolet albedo of Steins measured with Rosetta-ALICE"
"10","Au CH","Insights into evolution of multicellular fungi from the assembled chromosomes of the mushroom Coprinopsis cinerea (Coprinus cinereus)"
"11","Aoi N","Search for H-7 in H-2+ He-8 collisions"
"12","Au ALS","Endothelium-Derived Nitric Oxide Inhibits the Relaxation of the Porcine Coronary Artery to Natriuretic Peptides by Desensitizing Big Conductance Calcium-Activated Potassium Channels of Vascular Smooth Muscle"
"13","Aas T","DNA methylation profiling in doxorubicin treated primary locally advanced breast tumours identifies novel genes associated with survival and treatment response"
"14","Aoiz FJ","Dynamics of the C(D-1)+H-2 reaction: A comparison of crossed molecular beam experiments with quantum mechanical and quasiclassical trajectory calculations on the first two singlet (1(1)A ' and 1(1)A '') potential energy surfaces"
"15","Aoui M","In situ contouring technique in the treatment of thoracolumbar fractures"
"16","Ai D","Observation of a d-wave nodal liquid in highly underdoped Bi2Sr2CaCu2O8+delta"
"17","A'Hearn M","Energy balance of the Deep Impact experiment"
"18","Ash G","Lithium plus valproate combination therapy versus monotherapy for relapse prevention in bipolar I disorder (BALANCE): a randomised open-label trial"
"19","Au WY","Molecular signatures to improve diagnosis in peripheral T-cell lymphoma and prognostication in angioimmunoblastic T-cell lymphoma"
"20","A'Hearn MF","PHOTOMETRIC STUDY OF THE KREUTZ COMETS OBSERVED BY SOHO FROM 1996 TO 2005"
"21","Aoues Y","Benchmark study of numerical methods for reliability-based design optimization"
"22","Au R","Genome-Wide Association Studies of MRI-Defined Brain Infarcts Meta-Analysis From the CHARGE Consortium"
"23","A'Hearn MF","E-Type Asteroid (2867) Steins as Imaged by OSIRIS on Board Rosetta"
"24","Aoi N","Study of N=20 shell gap with H-1(Ne-28, Ne-27,Ne- 28) reactions"
"25","A'Hearn MF","The distribution of water ice in the interior of Comet Tempel 1"
"26","Ai-Saleh M","First luminescence study of the new oxyborate Na3La9O3(BO3)(8): Nd3+"
"27","Aoi N","Search for low lying dipole strength in the neutron rich nucleus Ne-26"
"28","Aiouaz T","The correlation between coronal Doppler shifts and the supergranular network (vol 435, pg 713, 2005)"
"29","Aoi N","Measurement of the B(E2,0(1)(+)-> 2(1)(+)) in the N=16 nucleus Ne-26"
"30","Ash JT","Spectral editing in, solid-state MAS NMR of quadrupolar nuclei using selective satellite inversion"
"31","Ao L","Cosmic-ray positron fraction measurement from 1 to 30 GeV with AMS-01"
"32","Aoi N","Spectroscopic study of neutron shell closures via nucleon transfer in the near-dripline nucleus O-23"
"33","A'Hearn MF","Observations of Comet 9P/Tempel 1 around the Deep Impact event by the OSIRIS cameras onboard Rosetta"
